(2262344692, 1957868742)	('exabeliebers',)
(2262344692, 2268662113)	('exabeliebers',)
(2262344692, 567411739)	('exabeliebers',)
(2262344692, 1064066208)	('exabeliebers',)
(2262344692, 1293308695)	('exabeliebers',)
(2262344692, 2277695316)	('exabeliebers',)
(2262344692, 571244384)	('exabeliebers',)
(2262344692, 2222176842)	('exabeliebers',)
(895508888, 1291364624)	('unionjbestfans2014',)
(895508888, 827150118)	('unionjbestfans2014',)
(895508888, 151169711)	('unionjbestfans2014',)
(28398084, 153968990)	('giveaway',)
(28398084, 594187137)	('giveaway',)
(28398084, 55359948)	('giveaway',)
(28398084, 987811740)	('giveaway',)
(1731884257, 1896021194)	('repost',)
(1844115444, 895230932)	('exadirectioners',)
(1844115444, 190927690)	('exadirectioners',)
(1844115444, 1631428891)	('exadirectioners',)
(1844115444, 1629145248)	('exadirectioners',)
(1844115444, 997377012)	('exadirectioners',)
(1844115444, 981413491)	('exadirectioners',)
(1844115444, 1495441500)	('exadirectioners',)
(1844115444, 550712914)	('exadirectioners',)
(1844115444, 911562086)	('exadirectioners',)
(1844115444, 1548698851)	('exadirectioners',)
(1844115444, 1500558018)	('exadirectioners',)
(1844115444, 2267940914)	('exadirectioners',)
(1844115444, 1075380937)	('exadirectioners',)
(1844115444, 438409827)	('exadirectioners',)
(1844115444, 1494898957)	('exadirectioners',)
(1844115444, 1661758592)	('exadirectioners',)
(1844115444, 2268998065)	('exadirectioners',)
(1844115444, 1360486507)	('exadirectioners',)
(1844115444, 806259788)	('exadirectioners',)
(1844115444, 735137947)	('exadirectioners',)
(1844115444, 2268662113)	('exadirectioners',)
(1844115444, 526112989)	('exadirectioners',)
(1844115444, 1064066208)	('exadirectioners',)
(1844115444, 2277695316)	('exadirectioners',)
(1844115444, 840229986)	('exadirectioners',)
(1844115444, 1539967478)	('exadirectioners',)
(1844115444, 1951279062)	('exadirectioners',)
(1844115444, 482958998)	('exadirectioners',)
(1844115444, 2155238964)	('exadirectioners',)
(1844115444, 1661727884)	('exadirectioners',)
(1844115444, 79492409)	('exadirectioners',)
(1844115444, 553667989)	('exadirectioners',)
(1844115444, 1280508122)	('exadirectioners',)
(545603530, 1832243125)	('twitterfuckedupfollowparty',)
(545603530, 792502831)	('twitterfuckedupfollowparty',)
(545603530, 705320146)	('twitterfuckedupfollowparty',)
(545603530, 797598294)	('twitterfuckedupfollowparty',)
(545603530, 546215984)	('twitterfuckedupfollowparty',)
(545603530, 861521305)	('twitterfuckedupfollowparty',)
(545603530, 609517265)	('twitterfuckedupfollowparty',)
(545603530, 2261461237)	('twitterfuckedupfollowparty',)
(545603530, 840229986)	('twitterfuckedupfollowparty',)
(545603530, 2285351160)	('twitterfuckedupfollowparty',)
(545603530, 114190972)	('twitterfuckedupfollowparty',)
(545603530, 1566071593)	('twitterfuckedupfollowparty',)
(545603530, 362504586)	('twitterfuckedupfollowparty',)
(545603530, 295536426)	('twitterfuckedupfollowparty',)
(545603530, 616706106)	('twitterfuckedupfollowparty',)
(545603530, 1087938565)	('twitterfuckedupfollowparty',)
(229791173, 1606223048)	('happykyungsooday',)
(229791173, 379480947)	('happykyungsooday',)
(229791173, 389247057)	('happykyungsooday',)
(229791173, 1961555942)	('happykyungsooday',)
(229791173, 1174644019)	('happykyungsooday',)
(229791173, 220696698)	('happykyungsooday',)
(229791173, 1399731380)	('happykyungsooday',)
(229791173, 2261039574)	('happykyungsooday',)
(229791173, 1021434272)	('happykyungsooday',)
(229791173, 377203386)	('happykyungsooday',)
(229791173, 1539041437)	('happykyungsooday',)
(229791173, 1241823506)	('happykyungsooday',)
(229791173, 450431691)	('happykyungsooday',)
(229791173, 307196927)	('happykyungsooday',)
(229791173, 385779348)	('happykyungsooday',)
(229791173, 1279157114)	('happykyungsooday',)
(431873679, 406091657)	('nowplaying',)
(431873679, 2223213348)	('nowplaying',)
(431873679, 550261308)	('nowplaying',)
(431873679, 211311138)	('nowplaying',)
(431873679, 1311436706)	('nowplaying',)
(431873679, 97164879)	('nowplaying',)
(431873679, 152345356)	('nowplaying',)
(431873679, 479181186)	('nowplaying',)
(431873679, 297317201)	('nowplaying',)
(431873679, 1541125507)	('nowplaying',)
(190927690, 895230932)	('exadirectioners',)
(190927690, 1844115444)	('exadirectioners',)
(190927690, 1631428891)	('exadirectioners',)
